Comment,Designator,Footprint,JLCPCB Part #
100uF,C4,CAPMP7343X310N,C1954589
100,"R1,R2,R3,R4,R5,R6,R7,R8,R23,R24,R25,R26,R27,R28",RESC2012X65,C2917473
100nF,"C5,C6,C7,C8,C9,C10,C11,C12,C14,C16,C18,C20,C23,C24",CAPC1608X85,C519445
10103594,USB,10103594,C428495
10K,"R19,R20,R21",RESC2012X65,C25612
10uF,"C1,C2,C3,C17,C19",CAPC2012X110,C90543
12K,"R10,R15",RESC2012X65,C101937
1K,R12,RESC2012X65,C115316
22.1K,R17,RESC2012X65,C204311
4.7uF,C15,CAPC2012X110,C338005
47.5K,R18,RESC2012X65,C104355
470,"R9,R11,R16,R22,R29,R30",RESC2012X65,C2907329
50,R13,RESC2012X65,C2828866
ADS1118IDGSR,"U1,U2,U3,U4,U5,U6,U7,U8",SOP50P490X110-10N,C55347
AMS1117-3.3,U11,SOT229P700X180-4N,C347222
B3U-1000P(M),"BOOT,RESET",B3U-1000P(M),C231329
BC817W,"Q1,Q2",SOT323,C75566
CP2102N-A02-GQFN24,U10,QFN50P400X400X80-25N,C964632
LED_GREEN,"D1,D3",LEDC1608X35N_FLAT-G,C84264
LED_YELLOW,D2,LEDC1608X35N_FLAT-G,C84265
SP0503BAHTG,U12,SOT143,C3040626
