Designator,Mid X,Mid Y,Layer,Rotation
BOOT,20.83mm,24.26mm,Top,90.00
C1,40.17mm,11.05mm,Top,90.00
C10,13.59mm,17.13mm,Top,270.00
C11,13.54mm,12.18mm,Top,270.00
C12,13.59mm,6.97mm,Top,270.00
C14,38.35mm,44.45mm,Top,90.00
C15,28.96mm,8.57mm,Top,90.00
C16,30.86mm,8.60mm,Top,90.00
C17,24.89mm,13.84mm,Top,270.00
C18,34.54mm,45.59mm,Top,0.00
C19,32.42mm,4.00mm,Top,180.00
C2,44.71mm,12.18mm,Top,0.00
C20,31.95mm,5.88mm,Top,180.00
C23,42.16mm,10.92mm,Top,90.00
C24,44.96mm,10.13mm,Top,0.00
C3,22.61mm,13.84mm,Top,270.00
C4,43.97mm,43.94mm,Top,0.00
C5,13.59mm,42.67mm,Top,270.00
C6,13.59mm,37.47mm,Top,270.00
C7,13.59mm,32.41mm,Top,270.00
C8,13.59mm,27.43mm,Top,270.00
C9,13.59mm,22.21mm,Top,270.00
D1,31.33mm,13.83mm,Top,90.00
D2,19.18mm,31.62mm,Top,90.00
D3,45.59mm,14.48mm,Top,90.00
Q1,39.75mm,14.35mm,Top,180.00
Q2,33.78mm,14.35mm,Top,0.00
R1,30.61mm,20.27mm,Top,270.00
R10,36.07mm,43.05mm,Top,90.00
R11,33.78mm,43.05mm,Top,90.00
R12,38.10mm,3.39mm,Top,90.00
R13,27.18mm,13.84mm,Top,270.00
R15,21.97mm,20.32mm,Top,270.00
R16,24.13mm,20.32mm,Top,270.00
R17,32.36mm,1.80mm,Top,180.00
R18,35.84mm,3.31mm,Top,90.00
R19,20.52mm,34.38mm,Top,0.00
R2,32.77mm,20.27mm,Top,270.00
R20,36.70mm,14.85mm,Top,180.00
R21,36.70mm,12.45mm,Top,0.00
R22,37.08mm,20.24mm,Top,90.00
R23,26.29mm,20.27mm,Top,270.00
R24,34.93mm,20.27mm,Top,270.00
R25,39.24mm,20.27mm,Top,270.00
R26,30.61mm,43.07mm,Top,90.00
R27,28.35mm,43.10mm,Top,90.00
R28,26.10mm,43.06mm,Top,90.00
R29,21.08mm,31.36mm,Top,270.00
R3,41.45mm,20.27mm,Top,270.00
R30,44.58mm,16.76mm,Top,180.00
R4,28.45mm,20.27mm,Top,270.00
R5,21.72mm,43.05mm,Top,90.00
R6,19.56mm,43.05mm,Top,90.00
R7,23.93mm,43.06mm,Top,90.00
R8,21.07mm,28.19mm,Top,90.00
R9,29.33mm,13.89mm,Top,270.00
RESET,20.83mm,38.23mm,Top,90.00
U1,9.40mm,43.43mm,Top,270.00
U10,36.45mm,8.38mm,Top,0.00
U11,42.80mm,5.02mm,Top,90.00
U12,26.29mm,10.29mm,Top,90.00
U2,9.40mm,38.23mm,Top,270.00
U3,9.40mm,33.15mm,Top,270.00
U4,9.40mm,28.19mm,Top,270.00
U5,9.40mm,22.99mm,Top,270.00
U6,9.40mm,17.91mm,Top,270.00
U7,9.40mm,12.95mm,Top,270.00
U8,9.40mm,7.75mm,Top,270.00
USB,26.39mm,3.80mm,Top,0.00
